day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,8.210,,,8.159,,,,6.825,,4.604,,,5.087,,4.983,5.098,5.688,5.528,6.028,5.390,,,,,6.357,6.370,5.649,,4.124
2,8.197,,,8.245,,,,6.837,6.037,4.408,,,5.037,,4.917,4.971,5.315,5.399,5.813,5.326,,,,,6.129,6.261,5.636,,4.120
3,8.082,,,7.683,,,,6.896,5.929,4.167,,,5.050,5.083,4.746,4.825,4.943,5.296,5.502,5.247,,,,,5.971,6.122,5.705,,4.281
4,7.820,,,7.056,,,,6.917,5.900,3.746,,,5.138,4.921,4.546,4.730,4.532,5.253,5.269,5.146,,,,4.899,5.955,6.044,5.733,,4.328
5,7.362,,,6.950,,,,6.821,5.800,3.478,,,5.038,4.893,4.400,4.709,4.364,5.190,5.058,5.013,4.916,,,4.910,5.875,5.918,5.740,,4.406
6,7.394,,,6.850,,,,6.721,5.779,3.158,,,4.917,4.836,4.271,4.679,4.317,5.060,4.951,4.843,4.974,,,4.984,5.824,5.758,5.706,,4.469
7,7.271,,,6.752,,,,6.700,5.700,2.908,,,4.833,4.864,4.300,4.579,4.270,5.000,4.908,4.745,4.980,,,5.098,5.820,5.705,5.638,,4.479
8,7.133,,,6.519,,,,6.738,5.667,2.717,,,4.800,4.800,4.433,4.507,4.168,4.957,4.889,4.636,4.885,,,5.105,5.771,5.688,5.553,,4.449
9,7.910,,,6.105,,,,6.700,5.542,2.646,,,4.854,4.657,4.400,4.431,4.093,4.846,4.903,4.540,4.885,,,5.096,5.690,5.574,5.472,,4.287
10,8.428,,,5.443,,17.273,,6.679,5.413,2.629,,,4.813,4.436,4.371,4.400,4.044,4.705,4.810,4.476,4.930,,,5.136,5.631,5.431,5.448,,4.216
11,9.624,,,4.910,,,,6.600,5.400,2.762,,,4.521,4.407,4.279,4.433,3.985,4.511,4.723,4.464,4.918,,,5.163,5.630,5.234,5.449,,4.276
12,10.586,,,4.622,,,,6.442,5.312,2.883,,,4.321,4.314,4.133,4.447,3.954,4.288,4.485,4.453,4.834,,,5.108,5.670,5.170,5.362,,4.237
13,10.939,,,4.205,,,,6.138,5.300,3.042,,,4.113,4.293,4.008,4.431,3.984,4.109,4.260,4.520,4.726,,,5.025,5.608,4.933,5.308,,4.199
14,14.020,,,4.150,,,,5.987,5.275,3.129,,,3.775,4.300,4.067,4.408,4.012,3.945,4.112,4.628,4.607,,,4.939,5.575,4.599,5.199,,4.174
15,14.250,,,4.309,,,,5.933,5.200,3.213,,,3.483,4.064,4.117,4.398,3.993,3.768,3.960,4.556,4.491,5.459,,4.793,5.472,4.218,5.046,3.627,4.128
16,17.375,,,4.675,,,,5.888,5.167,3.346,,,3.254,3.850,4.013,4.405,4.030,3.504,3.831,4.423,4.388,5.233,,4.658,5.373,3.923,4.943,3.711,4.062
17,21.325,,,5.139,,,,5.735,5.025,3.400,,,3.042,3.600,3.883,4.421,4.175,3.259,3.650,4.332,4.197,5.080,,4.572,5.276,3.628,4.709,3.798,3.996
18,,,,5.865,,,,5.592,4.965,3.454,,,2.838,3.429,3.737,4.399,4.147,3.083,3.620,4.313,4.124,4.925,,4.537,5.186,3.331,4.635,3.792,3.868
19,,,,6.163,,,,5.479,4.900,3.500,,,2.708,3.271,3.554,4.356,3.941,2.781,3.641,4.243,4.108,4.809,1.906,4.463,5.100,3.295,4.560,3.714,3.716
20,,,,6.288,,,,5.342,4.867,3.500,,,2.688,3.157,3.408,4.303,3.704,2.468,3.629,4.084,3.986,4.698,1.970,4.327,5.004,3.416,4.479,3.638,3.593
21,,,,6.390,,,,5.162,4.800,3.500,,,2.546,2.886,3.230,4.303,3.587,2.295,3.569,3.900,3.811,4.635,2.085,4.157,4.904,3.531,4.411,3.573,3.435
22,,,,6.390,,,,5.013,4.733,3.467,,,2.500,2.571,3.038,4.317,3.611,2.146,3.459,3.739,3.800,4.633,2.125,4.049,4.743,3.583,4.280,3.379,3.313
23,,,,6.465,,,,4.904,4.713,3.400,,,2.537,2.364,2.808,,3.584,2.002,3.367,3.598,,4.634,2.091,3.968,4.670,3.706,4.171,3.308,3.109
24,,,,6.743,,,,4.813,4.725,3.354,,,2.583,2.229,2.583,,3.543,1.943,3.270,3.482,,4.617,2.095,3.824,4.635,3.828,4.107,3.163,2.959
25,,,,6.930,,,,4.854,4.700,3.300,,,2.629,1.964,2.342,,3.372,1.968,3.175,3.399,,4.541,2.150,3.706,4.598,3.975,4.053,3.023,2.819
26,10.013,,,6.955,,,,4.813,4.750,3.246,,,2.700,1.771,2.104,,3.157,2.102,3.145,3.340,3.824,4.529,2.239,3.605,4.578,4.048,4.012,2.897,2.756
27,11.357,,,6.978,,,,4.717,4.846,3.213,,,2.746,1.664,1.883,,3.053,2.215,3.145,3.275,3.867,4.583,2.280,3.518,4.514,4.094,3.857,2.784,2.903
28,11.270,,,6.936,,,,4.592,4.900,3.192,,,2.775,1.486,1.754,,3.058,2.343,3.165,3.251,3.898,4.618,2.247,3.460,4.407,4.150,3.817,2.659,2.737
29,11.420,,,6.970,,,,4.383,4.946,3.200,,,2.637,1.571,1.717,3.771,3.084,2.445,3.223,3.239,3.919,4.672,2.253,3.365,4.336,4.131,3.843,2.593,2.509
30,12.480,,,6.965,,,,4.212,4.913,3.200,,3.600,2.475,1.493,1.600,3.665,3.070,2.585,3.413,3.228,3.912,4.623,2.308,3.362,4.274,4.057,3.907,2.517,2.415
31,11.848,,,6.985,,,,4.088,4.846,2.943,,3.600,2.371,1.486,1.596,3.603,2.944,2.719,3.519,3.202,3.888,4.553,2.295,3.300,4.154,4.033,3.973,2.474,2.294
32,13.222,,,6.945,,,,3.929,4.846,2.875,,3.600,2.296,1.521,1.529,3.540,2.763,2.864,3.543,3.100,3.838,4.388,2.172,3.224,4.058,4.195,4.060,2.460,2.187
33,12.108,,,6.970,,,,3.870,4.850,2.800,,3.600,2.104,1.457,1.513,3.508,2.570,2.932,3.493,2.996,3.786,4.231,1.983,3.198,4.016,4.180,4.161,2.412,2.077
34,11.143,,,6.980,,,,3.813,4.833,2.721,,3.600,2.000,1.493,1.529,3.553,2.368,2.918,3.406,2.925,3.718,4.176,1.820,3.269,4.023,4.161,4.228,2.323,1.966
35,10.758,,,6.955,,,,3.800,4.796,2.758,,3.646,1.996,1.586,1.608,3.581,2.231,2.850,3.375,2.751,3.687,3.977,1.693,3.308,3.835,4.021,4.273,2.182,1.884
36,10.458,,,6.850,,,,3.717,4.725,2.829,,3.642,1.992,1.686,1.700,3.571,2.305,2.835,3.343,2.468,3.646,3.871,1.621,3.347,3.606,3.816,4.356,2.106,1.934
37,10.425,,,6.860,,,,3.700,4.633,2.804,,3.696,2.087,1.786,1.750,3.583,2.290,2.825,3.300,2.320,3.622,3.781,1.523,3.455,3.457,3.757,4.407,2.088,2.053
38,10.276,,,6.880,,,,3.629,4.587,2.800,,3.754,2.100,1.993,1.767,3.653,2.368,2.850,3.285,2.082,3.668,3.745,1.398,3.471,3.288,3.708,4.341,2.168,2.153
39,10.075,,,6.798,,,,3.625,4.546,2.846,,3.775,2.100,2.179,1.700,3.698,2.515,2.848,3.312,1.866,3.640,3.802,1.264,3.574,3.136,3.725,4.288,2.301,2.210
40,10.062,,,6.890,,,,3.600,4.521,2.888,,3.746,2.229,2.271,1.700,3.728,2.512,2.860,3.370,1.756,3.610,4.061,1.200,3.493,2.751,3.780,4.142,2.375,2.249
41,9.981,,,6.850,,16.907,,3.583,4.504,2.888,,3.700,2.342,2.357,1.700,3.775,2.493,2.872,3.435,1.748,3.678,3.794,1.192,3.447,2.401,3.766,3.957,2.520,2.364
42,9.970,,,6.758,,,,3.525,4.446,2.867,,3.667,2.463,2.400,1.738,3.775,2.455,2.892,3.479,1.760,3.724,3.680,1.271,3.338,2.097,3.830,3.613,2.685,2.493
43,10.021,,,6.722,,,,3.392,4.415,2.825,,3.654,2.546,2.429,1.800,3.755,2.391,2.901,3.521,1.901,3.812,,1.399,3.125,1.928,3.833,3.228,2.727,2.571
44,10.138,,,6.722,,,,3.338,4.425,2.713,,3.613,2.638,2.443,1.775,3.755,2.436,2.956,3.632,2.105,3.898,,1.426,2.972,1.985,3.729,2.855,2.735,2.691
45,10.139,,,6.650,,,,3.314,4.404,2.633,,3.579,2.625,2.486,1.808,3.766,2.431,2.993,3.658,2.317,3.986,,1.493,2.964,1.998,3.731,2.717,2.757,2.696
46,9.645,,,6.471,,,,3.296,4.400,2.646,,3.600,2.642,2.500,1.900,3.759,2.496,2.969,3.606,2.479,3.987,,1.576,2.960,2.038,3.722,2.635,2.798,2.700
47,9.357,,,6.532,,,,3.267,4.413,2.646,,,2.733,2.471,1.900,3.783,2.505,3.001,3.593,2.560,3.978,4.246,1.643,3.053,2.173,3.709,2.687,2.900,2.731
48,8.790,,,6.380,,,,3.267,4.450,2.600,,,2.779,2.464,1.958,3.820,2.501,3.054,3.646,2.691,3.928,4.190,1.744,3.177,2.308,3.661,2.758,2.932,2.769
49,9.057,,,6.258,,,,3.308,4.488,2.667,,,2.854,2.486,2.008,3.856,2.525,3.082,3.655,2.770,3.854,4.369,1.841,3.251,,3.598,2.918,3.042,2.844
50,8.622,,,6.400,,,,3.358,4.554,2.700,,,2.871,2.500,2.038,3.888,2.528,3.087,3.580,2.785,3.819,4.359,1.925,3.132,,3.560,3.052,3.121,2.945
51,9.326,,,6.666,,,,3.408,4.658,2.650,,,2.908,2.500,2.083,3.910,2.484,3.090,3.528,2.867,3.870,4.371,2.020,3.024,,3.484,3.182,3.247,2.996
52,8.846,,,6.814,,,,3.492,4.796,2.658,,,2.954,2.514,2.221,3.929,2.474,3.103,3.490,3.020,3.923,4.390,2.087,2.936,2.699,,3.264,3.245,3.062
53,7.280,,,6.741,,,,3.671,4.845,2.675,,,3.021,2.600,2.300,3.851,2.472,3.280,3.490,3.074,3.923,4.373,2.145,2.788,2.744,3.484,3.388,3.038,2.991
54,6.484,,,6.417,,,,3.725,4.833,2.763,,,2.983,2.636,2.348,3.743,2.412,3.321,3.507,3.075,3.937,4.309,2.237,2.620,2.727,3.563,3.537,2.894,2.727
55,6.315,,,5.969,,,,3.717,4.671,2.817,,,2.917,2.700,2.404,3.744,2.279,3.294,3.510,3.056,3.948,4.307,2.341,2.572,2.690,3.618,3.666,2.793,2.744
56,6.255,,,5.315,,,,3.650,4.600,2.813,,,2.821,,2.492,3.822,2.037,3.328,3.538,3.035,4.018,4.300,2.415,2.689,2.637,3.600,3.737,2.673,2.694
57,6.269,,,5.160,,,,3.617,4.492,2.946,,,2.833,,2.521,3.888,1.861,3.300,3.510,3.043,4.139,4.352,2.404,2.854,2.679,3.588,3.798,2.583,2.650
58,6.325,,,4.960,,,,3.583,4.500,2.967,,,2.804,,2.471,3.917,1.830,3.196,3.486,3.052,4.242,4.487,2.385,2.948,2.610,3.659,3.815,2.589,2.603
59,6.330,,,5.023,,,,3.563,4.488,3.017,,,2.800,,2.546,4.014,1.863,3.167,3.570,3.084,4.309,4.757,2.371,3.072,2.598,3.708,3.908,2.724,2.582
60,6.345,,,5.088,,,,3.571,4.521,3.113,,,2.771,,2.604,4.087,1.815,3.185,3.648,3.058,4.346,4.652,2.444,3.236,2.582,3.783,4.010,2.935,2.545
61,6.309,,,5.500,,,,3.600,4.542,3.183,,,2.667,,2.625,4.125,1.831,3.191,3.739,2.898,4.417,4.580,2.610,3.387,2.552,3.835,4.078,3.063,2.611
62,6.249,,,5.880,,,,3.579,4.543,3.275,,,2.537,,2.750,4.200,1.948,3.156,3.798,2.898,4.427,4.543,2.730,3.513,,3.882,4.151,3.228,2.640
63,6.260,,,5.326,,,,3.588,4.550,3.333,,,2.567,,2.883,4.223,2.075,3.195,3.909,2.975,4.465,4.776,2.863,3.581,,4.016,4.280,3.408,2.678
64,6.270,,,5.022,,,,3.575,4.579,3.367,,,2.646,,3.025,4.285,2.189,3.272,3.929,3.301,4.530,4.723,3.013,3.635,,4.039,4.350,3.521,2.816
65,6.264,,,4.806,,,,3.575,4.650,3.446,,,2.788,,3.054,4.361,2.339,3.269,3.893,3.580,4.606,4.789,3.124,3.661,,3.996,4.465,3.644,2.938
66,6.223,,,4.745,,,,,4.650,3.425,,,2.938,,3.096,4.477,2.513,3.285,3.936,3.665,4.702,4.993,3.098,3.684,,4.055,4.509,3.758,3.010
67,6.285,3.070,,4.777,,,,,4.654,3.475,,,3.104,,3.078,4.551,2.648,3.211,4.023,3.477,4.838,5.130,3.065,3.725,,4.152,4.538,3.796,3.072
68,6.279,3.379,,4.884,,,,,4.683,3.696,,,3.271,,3.046,4.464,2.793,3.243,4.075,3.407,4.979,5.071,3.095,3.761,,4.248,4.559,3.767,3.113
69,6.195,3.904,,5.154,,,,3.554,4.721,3.921,,,3.392,,2.975,4.458,2.945,3.360,4.195,3.629,5.130,5.116,3.120,3.775,,4.343,4.586,3.736,3.214
70,6.210,4.995,,5.633,,16.832,,3.621,4.779,4.113,,,3.564,,2.950,4.524,2.995,3.488,4.323,3.758,5.291,5.217,3.222,3.811,,4.301,4.603,3.637,3.320
71,6.239,6.009,,6.065,,,,3.629,4.800,4.179,,,3.925,,2.921,4.520,3.017,3.598,4.410,3.766,5.458,5.257,3.348,3.885,,4.328,4.633,3.618,3.412
72,5.960,5.965,,6.025,,,,3.550,4.792,4.267,,,4.004,,2.908,4.495,2.986,3.528,4.549,3.834,5.535,5.322,3.327,4.007,,4.407,4.715,3.704,3.510
73,6.255,6.101,,5.917,,,,3.496,4.925,4.467,,,4.084,,2.879,4.540,2.985,3.524,4.652,4.066,5.631,5.275,3.403,4.228,,4.357,4.755,3.725,3.569
74,6.245,5.083,,5.841,,,,3.558,4.900,4.608,,,,,2.875,4.690,3.074,3.453,4.738,4.161,5.789,5.129,3.601,4.447,,4.202,4.792,3.829,3.719
75,6.284,4.261,,5.730,,,,3.546,4.925,4.783,,,,,2.954,4.771,3.140,3.373,4.779,4.193,5.826,5.069,3.821,4.452,,4.021,4.854,4.035,3.863
76,6.245,3.954,,5.739,,,,3.579,5.071,4.908,,,,,2.963,4.893,3.220,3.483,4.819,4.304,5.900,5.105,3.825,4.511,,4.047,4.936,4.058,4.028
77,6.175,3.848,,5.827,,,,3.579,5.092,5.113,,,,,3.067,4.918,3.289,3.550,4.857,4.259,5.965,5.259,3.804,4.617,,4.026,4.980,4.084,4.059
78,6.190,3.897,,5.938,,,,3.650,5.200,5.288,,,4.593,,3.142,4.938,3.426,3.592,4.924,4.193,6.005,5.293,3.783,4.724,3.634,4.133,5.057,4.229,4.183
79,6.211,3.980,,6.015,,,,3.683,5.329,5.363,,,4.754,,3.292,5.011,3.542,3.607,5.043,4.132,5.998,5.344,,4.793,3.682,4.295,5.170,4.299,4.416
80,6.195,4.035,4.702,6.014,,,,3.600,5.433,5.408,,,4.554,,3.488,5.117,3.589,3.700,5.150,3.995,6.033,5.452,,4.830,3.790,4.475,5.256,4.354,4.649
81,6.270,4.070,4.559,6.091,,,,3.633,5.529,5.471,,,4.496,,3.638,5.204,3.698,3.853,5.133,3.928,5.964,5.536,,4.839,3.977,4.671,5.290,4.545,4.811
82,6.170,4.085,4.549,6.118,,,,3.683,5.658,5.583,,,4.517,,3.767,5.298,4.063,4.015,5.103,3.978,5.934,5.690,3.786,4.731,4.200,4.745,5.371,4.747,4.991
83,,4.090,4.660,6.168,,,,3.808,5.721,5.817,,,4.579,,3.904,5.397,4.437,4.063,5.123,4.006,5.911,5.808,3.816,4.681,4.413,4.853,5.438,4.965,5.042
84,6.061,3.940,4.701,,,,,4.046,5.833,5.863,,,4.721,,4.033,5.509,4.571,4.144,5.185,4.034,5.957,5.944,3.909,4.617,4.404,4.873,5.521,5.098,5.071
85,6.144,3.731,4.841,,,,,4.038,5.860,5.838,,,4.733,,4.167,5.672,4.621,4.190,5.276,4.029,6.036,6.065,4.052,4.581,4.583,5.028,5.617,5.155,5.134
86,6.086,3.633,4.930,,,,,4.087,5.750,5.804,,,4.800,,4.388,5.756,4.548,4.344,5.391,4.089,6.222,6.188,4.146,4.577,4.748,5.043,5.813,,5.239
87,6.131,3.674,5.120,,,,,4.317,5.788,5.896,,,4.867,,4.442,5.815,4.510,4.395,5.483,4.089,6.460,6.319,4.400,4.767,4.895,5.225,6.015,5.413,5.338
88,6.090,3.664,5.032,,,,,4.642,5.929,6.046,,,4.971,,4.413,5.947,4.589,4.383,5.558,4.078,6.502,6.317,4.447,4.736,5.033,5.385,6.118,5.546,5.322
89,6.117,3.645,5.105,,,,,4.921,5.983,6.067,,,5.083,,4.371,6.086,4.650,4.418,5.713,4.267,6.532,6.419,,4.933,5.129,5.552,6.100,5.818,5.351
90,6.076,3.756,5.085,,5.400,,,5.146,6.075,6.113,,,5.204,,4.483,6.098,4.864,4.464,5.879,4.219,6.616,6.493,,5.136,5.262,5.768,6.163,5.976,5.441
91,6.102,3.803,5.110,,5.518,,,5.262,6.046,6.042,,,5.175,,4.400,6.154,5.069,4.400,6.088,4.308,6.646,6.730,,5.185,5.453,5.897,6.318,5.891,5.511
92,6.080,3.960,5.169,,5.602,,,5.333,6.079,6.029,,,5.163,,4.475,6.121,5.228,4.453,6.458,4.576,6.662,6.932,,5.151,5.655,5.953,6.390,6.092,5.553
93,6.024,4.105,5.310,,5.642,,,5.488,6.058,6.167,,,5.246,,4.583,5.986,5.156,4.545,6.630,4.662,6.743,7.222,5.579,5.168,5.899,5.958,6.480,6.267,5.545
94,6.050,4.111,5.325,,5.659,,,5.696,6.029,6.238,,,5.329,,4.675,5.979,5.095,4.739,6.704,4.762,6.823,7.348,5.600,5.217,6.024,6.014,6.589,6.369,5.551
95,6.082,4.248,5.357,,5.761,,,5.842,6.038,6.200,,,5.388,,4.721,6.059,5.007,4.815,6.827,4.967,6.758,7.539,5.588,5.213,6.038,6.086,6.626,6.350,5.754
96,6.361,4.406,5.516,,5.810,,,6.125,6.091,6.439,,5.404,5.463,,4.896,6.143,5.000,4.925,6.937,5.113,6.691,7.645,5.667,5.175,6.103,6.160,6.658,6.312,5.877
97,6.568,4.583,5.668,,5.950,,,6.339,6.167,6.583,,5.371,5.679,,5.158,6.268,5.057,4.938,6.938,5.344,6.678,7.687,5.728,5.152,6.220,6.278,6.720,6.345,5.999
98,6.695,4.963,5.728,,6.050,,,6.425,6.250,6.858,,5.392,5.979,,5.483,6.355,5.158,4.983,6.835,5.612,6.685,7.747,5.797,5.193,6.200,6.484,6.650,6.502,6.086
99,6.748,5.224,5.887,,5.985,,,6.561,6.413,7.050,,5.346,6.175,,5.663,6.419,5.318,5.104,6.690,5.919,6.770,7.870,5.846,5.380,6.270,6.625,6.665,6.533,6.204
100,6.677,5.612,5.922,,6.125,16.800,,6.721,6.529,7.217,,5.363,6.350,,5.733,6.498,5.453,5.194,6.815,5.943,6.882,8.065,5.972,5.466,6.310,6.665,6.755,6.508,6.293
101,6.842,5.810,6.070,,6.277,16.943,,6.942,6.608,7.408,,5.379,6.438,,5.871,6.530,5.593,5.277,6.858,6.019,7.010,8.221,6.038,5.650,6.285,7.104,6.710,6.417,6.318
102,6.708,5.936,6.248,,6.445,,,7.042,6.675,7.688,,5.550,6.473,,5.996,6.564,5.723,5.458,6.470,6.160,7.087,8.335,6.086,5.849,6.370,7.365,6.838,6.268,6.373
